183,183,183,167,167,167,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183
183,183,183,167,167,167,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183
183,183,183,167,167,167,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,186,183,183,183,183,183
183,183,183,239,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,186,183,183,183,183,183
183,183,183,239,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,186,183,183,183,183,183
183,183,183,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,186,183,183,183,183,183
183,183,183,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,240,239,239,186,183,183,183,183,183
183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,240,239,239,186,183,183,183,183,183
183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,240,240,239,186,183,183,183,183,183
183,183,183,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,186,183,183,183,183,183
183,183,183,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,186,183,183,183,183,183
183,183,183,239,222,239,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,186,183,183,183,183,183
183,183,183,239,222,239,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,186,183,183,183,183,183
183,183,183,239,222,239,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183
183,183,184,239,222,239,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183
183,183,183,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,165,165,165,183,183,183
183,183,183,239,222,221,221,221,221,221,221,221,221,221,221,221,221,239,239,239,239,239,239,239,239,221,165,165,165,183,183,183
183,183,183,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,165,165,165,185,185,185
183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183
183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183
